TTSBinIdx	DataRowID	TCIDIdx	TTSRef
690	9795	12781	chr1
8959	4687	6177	chr1
9018	4688	6179	chr1
9355	4721	6222	chr1
9488	4691	6182	chr1
10517	1322	1689	chr1
11092	12682	16380	chr1
11150	12682	16380	chr1
11420	1329	1697	chr1
11495	1330	1698	chr1
11674	1331	1699	chr1
11676	12687	16385	chr1
12092	1333	1701	chr1
12158	12689	16387	chr1
12432	1334	1702	chr1
12439	12691	16390	chr1
12601	4352	5715	chr1
12844	1338	1708	chr1
12939	1340	1711	chr1
13347	1342	1714	chr1
13709	12697	16397	chr1
13850	12698	16398	chr1
14475	12699	16399	chr1
14479	12699	16399	chr1
15102	1344	1717	chr1
15675	4305	5642	chr1
18225	1351	1727	chr1
18462	12704	16405	chr1
19507	4718	6215	chr1
19819	12706	16408	chr1
20054	12706	16408	chr1
20361	12706	16408	chr1
21262	1360	1738	chr1
21391	1360	1738	chr1
24077	12713	16418	chr1
24580	1371	1757	chr1
24878	1375	1761	chr1
25181	12716	16423	chr1
25644	1377	1763	chr1
27062	1377	1763	chr1
29380	12720	16427	chr1
29857	12722	16429	chr1
33711	12731	16441	chr1
35666	1412	1806	chr1
35691	12735	16445	chr1
36689	12740	16452	chr1
37737	1414	1814	chr1
37738	12741	16453	chr1
38168	1417	1817	chr1
47151	12751	16463	chr1
60523	12764	16480	chr1
60525	1426	1830	chr1
60860	12764	16480	chr1
60943	12764	16480	chr1
61059	12764	16480	chr1
61061	12764	16480	chr1
62401	1429	1835	chr1
62960	1431	1838	chr1
63210	1432	1839	chr1
64190	1433	1840	chr1
64207	1433	1840	chr1
64458	1433	1840	chr1
64538	1433	1840	chr1
64799	1435	1842	chr1
64848	12768	16488	chr1
65262	1436	1843	chr1
65455	1439	1847	chr1
65460	1439	1847	chr1
65506	1439	1847	chr1
65517	1439	1847	chr1
65571	1439	1847	chr1
65574	1439	1847	chr1
65801	1439	1847	chr1
66146	1442	1851	chr1
66153	12769	16490	chr1
